show_id,type,title,country,date_added,release_year,rating,listed_in
s81,Movie,Firedrake the Silver Dragon,,"September 10, 2021",2021,TV-Y7,Children & Family Movies
s82,Movie,Kate,United States,"September 10, 2021",2021,R,Action & Adventure
s83,TV Show,Lucifer,United States,"September 10, 2021",2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas"
s84,TV Show,Metal Shop Masters,,"September 10, 2021",2021,TV-MA,Reality TV
s85,Movie,Omo Ghetto: the Saga,Nigeria,"September 10, 2021",2020,TV-MA,"Action & Adventure, Comedies, Dramas"
s86,TV Show,Pokémon Master Journeys: The Series,,"September 10, 2021",2021,TV-Y7,"Anime Series, Kids' TV"
s87,Movie,Prey,,"September 10, 2021",2021,TV-MA,"International Movies, Thrillers"
s88,TV Show,Titipo Titipo,,"September 10, 2021",2019,TV-Y,"Kids' TV, Korean TV Shows"
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,,"September 9, 2021",2021,PG-13,"Documentaries, Sports Movies"
s90,TV Show,Mighty Raju,,"September 9, 2021",2017,TV-Y7,Kids' TV
s91,Movie,Paradise Hills,"Spain, United States","September 9, 2021",2019,TV-MA,"Sci-Fi & Fantasy, Thrillers"
s92,Movie,The Women and the Murderer,France,"September 9, 2021",2021,TV-14,"Documentaries, International Movies"
s93,TV Show,Into the Night,Belgium,"September 8, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s94,Movie,JJ+E,,"September 8, 2021",2021,TV-MA,"Dramas, International Movies, Romantic Movies"
s95,Movie,Show Dogs,"United Kingdom, United States","September 8, 2021",2018,PG,"Children & Family Movies, Comedies"
s96,TV Show,The Circle,"United States, United Kingdom","September 8, 2021",2021,TV-MA,Reality TV
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,"September 7, 2021",2018,TV-MA,"Documentaries, Music & Musicals"
s98,TV Show,Kid Cosmic,United States,"September 7, 2021",2021,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
s99,TV Show,Octonauts: Above & Beyond,United Kingdom,"September 7, 2021",2021,TV-Y,"British TV Shows, Kids' TV"
s100,TV Show,On the Verge,"France, United States","September 7, 2021",2021,TV-MA,"TV Comedies, TV Dramas"
s101,TV Show,Tobot Galaxy Detectives,,"September 7, 2021",2019,TV-Y7,Kids' TV
s102,Movie,Untold: Breaking Point,United States,"September 7, 2021",2021,TV-MA,"Documentaries, Sports Movies"
s103,TV Show,Countdown: Inspiration4 Mission to Space,,"September 6, 2021",2021,TV-14,"Docuseries, Science & Nature TV"
s104,Movie,Shadow Parties,,"September 6, 2021",2020,TV-MA,"Dramas, International Movies, Thrillers"
s105,TV Show,Tayo the Little Bus,South Korea,"September 6, 2021",2016,TV-Y,"Kids' TV, Korean TV Shows"
s106,Movie,Angamaly Diaries,India,"September 5, 2021",2017,TV-14,"Action & Adventure, Comedies, Dramas"
s107,TV Show,Bunk'd,United States,"September 5, 2021",2021,TV-G,"Kids' TV, TV Comedies"
s108,Movie,A Champion Heart,United States,"September 4, 2021",2018,G,"Children & Family Movies, Dramas"
s109,TV Show,Dive Club,Australia,"September 3, 2021",2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows"
s110,TV Show,La casa de papel,Spain,"September 3, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s111,TV Show,Money Heist: From Tokyo to Berlin,,"September 3, 2021",2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows"
s112,TV Show,Sharkdog,"United States, Singapore","September 3, 2021",2021,TV-Y,Kids' TV
s113,Movie,Worth,,"September 3, 2021",2021,PG-13,Dramas
s114,Movie,Afterlife of the Party,,"September 2, 2021",2021,TV-PG,"Comedies, Romantic Movies"
s115,Movie,Anjaam,India,"September 2, 2021",1994,TV-14,"Dramas, International Movies, Thrillers"
s116,Movie,Bright Star,"United Kingdom, Australia, France","September 2, 2021",2009,PG,"Dramas, Romantic Movies"
s117,Movie,Dhanak,India,"September 2, 2021",2015,TV-PG,"Comedies, Dramas, Independent Movies"
s118,Movie,Final Account,"United Kingdom, United States","September 2, 2021",2021,PG-13,Documentaries
s119,Movie,Gurgaon,India,"September 2, 2021",2017,TV-14,"Dramas, International Movies, Thrillers"
s120,Movie,Here and There,,"September 2, 2021",2020,TV-MA,"Dramas, International Movies, Romantic Movies"
s121,TV Show,Heroes of Goo Jit Zu,Australia,"September 2, 2021",2021,TV-Y7,"Kids' TV, TV Comedies"
s122,TV Show,Hotel Del Luna,,"September 2, 2021",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies"
s123,Movie,In the Cut,"United Kingdom, Australia, France, United States","September 2, 2021",2003,R,Thrillers
s124,TV Show,Luv Kushh,,"September 2, 2021",2012,TV-Y7,Kids' TV
s125,TV Show,Pororo - The Little Penguin,South Korea,"September 2, 2021",2013,TV-Y7,"Kids' TV, Korean TV Shows"
s126,TV Show,Q-Force,United States,"September 2, 2021",2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies"
s127,Movie,Shikara,India,"September 2, 2021",2020,TV-14,"Dramas, International Movies, Romantic Movies"
s128,Movie,A Cinderella Story,"United States, Canada","September 1, 2021",2004,PG,"Children & Family Movies, Comedies"
s129,Movie,Agatha Christie's Crooked House,,"September 1, 2021",2017,PG-13,"Dramas, International Movies, Thrillers"
s130,Movie,An Unfinished Life,"Germany, United States","September 1, 2021",2005,PG-13,Dramas
s131,Movie,Barbie Big City Big Dreams,,"September 1, 2021",2021,TV-Y,"Children & Family Movies, Music & Musicals"
s132,Movie,Blade Runner: The Final Cut,United States,"September 1, 2021",1982,R,"Action & Adventure, Classic Movies, Cult Movies"
s133,TV Show,Brave Animated Series,,"September 1, 2021",2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies"
s134,Movie,Chappie,"South Africa, United States","September 1, 2021",2015,R,"Action & Adventure, Sci-Fi & Fantasy"
s135,Movie,Clear and Present Danger,"United States, Mexico","September 1, 2021",1994,PG-13,"Action & Adventure, Dramas"
s136,Movie,Cliffhanger,"United States, Italy, France, Japan","September 1, 2021",1993,R,Action & Adventure
s137,Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,"Dramas, Romantic Movies"
s138,Movie,Crocodile Dundee in Los Angeles,"Australia, United States","September 1, 2021",2001,PG,"Action & Adventure, Comedies"
s139,Movie,Dear John,United States,"September 1, 2021",2010,PG-13,"Dramas, Romantic Movies"
s140,Movie,Do the Right Thing,United States,"September 1, 2021",1989,R,"Classic Movies, Comedies, Dramas"
s141,Movie,"El patrón, radiografía de un crimen","Argentina, Venezuela","September 1, 2021",2014,TV-MA,"Dramas, International Movies, Thrillers"
s142,Movie,Extraction,"United States, United Kingdom, Canada","September 1, 2021",2015,R,Action & Adventure
s143,Movie,Freedom Writers,"Germany, United States","September 1, 2021",2007,PG-13,Dramas
s144,Movie,Green Lantern,United States,"September 1, 2021",2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
s145,Movie,House Party,United States,"September 1, 2021",1990,R,"Comedies, Cult Movies"
s146,Movie,House Party 2,United States,"September 1, 2021",1991,R,"Comedies, Cult Movies, Music & Musicals"
s147,Movie,House Party 3,United States,"September 1, 2021",1994,R,"Comedies, Music & Musicals"
s148,TV Show,How to Be a Cowboy,,"September 1, 2021",2021,TV-PG,Reality TV
s149,TV Show,HQ Barbers,,"September 1, 2021",2020,TV-14,TV Shows
s150,Movie,I Got the Hook Up,United States,"September 1, 2021",1998,R,"Action & Adventure, Comedies"
s151,Movie,In Too Deep,United States,"September 1, 2021",1999,R,Thrillers
s152,Movie,Initial D,"China, Hong Kong","September 1, 2021",2005,TV-14,"Action & Adventure, International Movies"
s153,Movie,Janoskians: Untold and Untrue,United States,"September 1, 2021",2016,TV-MA,Comedies
s154,TV Show,Kid-E-Cats,Russia,"September 1, 2021",2016,TV-Y,Kids' TV
s155,TV Show,Kuroko's Basketball,Japan,"September 1, 2021",2015,TV-MA,"Anime Series, International TV Shows, Teen TV Shows"
s156,Movie,Labyrinth,"United Kingdom, United States","September 1, 2021",1986,PG,"Action & Adventure, Children & Family Movies, Cult Movies"
s157,Movie,Letters to Juliet,United States,"September 1, 2021",2010,PG,"Comedies, Dramas, Romantic Movies"
s158,Movie,Level 16,Canada,"September 1, 2021",2018,TV-14,"Sci-Fi & Fantasy, Thrillers"
s159,Movie,Love Don't Cost a Thing,United States,"September 1, 2021",2003,PG-13,"Comedies, Romantic Movies"
s160,Movie,Love in a Puff,Hong Kong,"September 1, 2021",2010,TV-MA,"Comedies, Dramas, International Movies"
s161,TV Show,Major Dad,United States,"September 1, 2021",1992,TV-PG,TV Comedies
s162,Movie,Mars Attacks!,United States,"September 1, 2021",1996,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy"
s163,Movie,Marshall,"United States, China, Hong Kong","September 1, 2021",2017,PG-13,Dramas
s164,Movie,My Boss's Daughter,United States,"September 1, 2021",2003,R,"Comedies, Romantic Movies"
s165,Movie,Mystery Men,United States,"September 1, 2021",1999,PG-13,"Action & Adventure, Comedies"
s166,TV Show,Oldsters,,"September 1, 2021",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s167,Movie,Once Upon a Time in America,"Italy, United States","September 1, 2021",1984,R,"Classic Movies, Dramas"
s168,Movie,Open Season 2,"United States, Canada","September 1, 2021",2008,PG,"Children & Family Movies, Comedies"
s169,Movie,Osmosis Jones,United States,"September 1, 2021",2001,PG,"Action & Adventure, Children & Family Movies, Comedies"
s170,Movie,Poseidon,United States,"September 1, 2021",2006,PG-13,"Action & Adventure, Dramas"
s171,Movie,Rhyme & Reason,United States,"September 1, 2021",1997,R,"Documentaries, Music & Musicals"
s172,Movie,Same Kind of Different as Me,United States,"September 1, 2021",2017,PG-13,"Dramas, Faith & Spirituality"
s173,Movie,School of Rock,"United States, Germany","September 1, 2021",2003,PG-13,"Comedies, Music & Musicals"
s174,Movie,Snervous Tyler Oakley,United States,"September 1, 2021",2015,PG-13,"Documentaries, LGBTQ Movies"
s175,Movie,Tears of the Sun,United States,"September 1, 2021",2003,R,"Action & Adventure, Dramas"
s176,Movie,The Blue Lagoon,United States,"September 1, 2021",1980,R,"Dramas, Romantic Movies"
s177,Movie,The Golden Child,United States,"September 1, 2021",1986,PG-13,"Action & Adventure, Comedies"
s178,Movie,The Guns of Navarone,"United Kingdom, United States","September 1, 2021",1961,TV-14,"Action & Adventure, Classic Movies"
s179,Movie,The Interview,United States,"September 1, 2021",2014,R,"Action & Adventure, Comedies"
s180,Movie,The Nutty Professor,United States,"September 1, 2021",1996,PG-13,"Comedies, Romantic Movies"
s181,Movie,The Nutty Professor II: The Klumps,,"September 1, 2021",2000,PG-13,"Comedies, Romantic Movies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,,"September 1, 2021",2021,TV-14,Docuseries
s183,Movie,Welcome Home Roscoe Jenkins,United States,"September 1, 2021",2008,PG-13,Comedies
s184,Movie,In the Line of Fire,United States,"August 31, 2021",1993,R,"Action & Adventure, Classic Movies"
s185,TV Show,Sparking Joy,United States,"August 31, 2021",2021,TV-PG,Reality TV
s186,Movie,Untold: Crime & Penalties,,"August 31, 2021",2021,TV-MA,"Documentaries, Sports Movies"
s187,TV Show,Hometown Cha-Cha-Cha,,"August 29, 2021",2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,,"August 29, 2021",2021,TV-G,"International TV Shows, TV Comedies"
s189,Movie,2 Alone in Paris,France,"August 28, 2021",2008,TV-MA,"Comedies, International Movies"
s190,TV Show,Bread Barbershop,,"August 28, 2021",2020,TV-Y,"Kids' TV, TV Comedies"
s191,Movie,Thimmarusu,India,"August 28, 2021",2021,TV-14,"Dramas, International Movies"
s192,Movie,Wind River,"United Kingdom, Canada, United States","August 28, 2021",2017,R,"Dramas, Independent Movies"
s193,Movie,C Kkompany,India,"August 27, 2021",2008,TV-14,"Action & Adventure, Comedies, International Movies"
s194,TV Show,D.P.,", South Korea","August 27, 2021",2021,TV-MA,"International TV Shows, TV Dramas"
s195,TV Show,Deadly Sins,,"August 27, 2021",2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s196,Movie,EMI: Liya Hai To Chukana Padega,India,"August 27, 2021",2008,TV-14,"Comedies, Dramas, International Movies"
s197,Movie,He's All That,,"August 27, 2021",2021,TV-14,"Comedies, Romantic Movies"
s198,TV Show,I Heart Arlo,,"August 27, 2021",2021,TV-Y7,"Kids' TV, TV Comedies"
s199,TV Show,King of Boys: The Return of the King,Nigeria,"August 27, 2021",2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas"
s200,Movie,Koi Aap Sa,India,"August 27, 2021",2006,TV-14,"Comedies, Dramas, International Movies"
s201,Movie,Krishna Cottage,India,"August 27, 2021",2004,TV-14,"Action & Adventure, Horror Movies, International Movies"
s202,Movie,Kucch To Hai,India,"August 27, 2021",2003,TV-14,"Dramas, International Movies, Thrillers"
s203,Movie,Kyaa Kool Hai Hum,India,"August 27, 2021",2005,TV-MA,"Comedies, International Movies, Music & Musicals"
s204,Movie,Kyaa Kool Hain Hum 3,India,"August 27, 2021",2016,TV-MA,"Comedies, International Movies"
s205,Movie,Kyaa Super Kool Hain Hum,India,"August 27, 2021",2012,TV-MA,"Comedies, International Movies"
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,"August 27, 2021",2001,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy"
s207,Movie,"LSD: Love, Sex Aur Dhokha",India,"August 27, 2021",2010,TV-MA,"Dramas, Independent Movies, International Movies"
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,"August 27, 2021",2008,TV-14,"Action & Adventure, International Movies, Music & Musicals"
s209,Movie,Once Upon a Time in Mumbaai,India,"August 27, 2021",2010,TV-14,"Dramas, International Movies, Music & Musicals"
s210,Movie,Once Upon a Time in Mumbai Dobaara!,India,"August 27, 2021",2013,TV-14,"Dramas, International Movies, Music & Musicals"
s211,Movie,Ragini MMS,India,"August 27, 2021",2011,TV-MA,"Horror Movies, International Movies"
s212,Movie,Ragini MMS 2,India,"August 27, 2021",2014,TV-MA,"Horror Movies, International Movies"
s213,TV Show,Rebellion,Ireland,"August 27, 2021",2016,TV-MA,"International TV Shows, TV Dramas"
s214,TV Show,RIDE ON TIME,,"August 27, 2021",2021,TV-PG,"Docuseries, International TV Shows"
s215,Movie,SAS: Rise of the Black Swan,,"August 27, 2021",2021,R,"Action & Adventure, International Movies"
s216,Movie,Shootout at Lokhandwala,India,"August 27, 2021",2007,TV-MA,"Action & Adventure, Dramas, International Movies"
s217,Movie,Shor In the City,India,"August 27, 2021",2011,TV-14,"Comedies, Dramas, Independent Movies"
s218,Movie,The Dirty Picture,India,"August 27, 2021",2011,TV-14,"Comedies, Dramas, International Movies"
s219,TV Show,Titletown High,,"August 27, 2021",2021,TV-14,"Reality TV, Teen TV Shows"
s220,TV Show,EDENS ZERO,Japan,"August 26, 2021",2021,TV-14,"Anime Series, International TV Shows"
s221,TV Show,Family Reunion,United States,"August 26, 2021",2021,TV-PG,"Kids' TV, TV Comedies"
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",,"August 25, 2021",2021,TV-14,Documentaries
s223,TV Show,Clickbait,,"August 25, 2021",2021,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries"
s224,TV Show,John of God: The Crimes of a Spiritual Healer,,"August 25, 2021",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
s225,TV Show,Motel Makeover,,"August 25, 2021",2021,TV-14,"International TV Shows, Reality TV"
s226,TV Show,Open Your Eyes,,"August 25, 2021",2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s227,TV Show,Post Mortem: No One Dies in Skarnes,,"August 25, 2021",2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas"
s228,Movie,Really Love,United States,"August 25, 2021",2020,TV-MA,"Dramas, Independent Movies, Romantic Movies"
s229,Movie,The November Man,"United States, United Kingdom","August 25, 2021",2014,R,Action & Adventure
s230,Movie,The Old Ways,United States,"August 25, 2021",2020,TV-MA,Horror Movies
s231,Movie,The River Runner,,"August 25, 2021",2021,TV-MA,"Documentaries, Sports Movies"
s232,Movie,The Water Man,United States,"August 25, 2021",2021,PG,"Children & Family Movies, Dramas"
s233,TV Show,Wheel of Fortune,United States,"August 25, 2021",2019,TV-G,Reality TV
s234,Movie,Count Me In,United Kingdom,"August 24, 2021",2021,TV-MA,"Documentaries, Music & Musicals"
s235,TV Show,Oggy Oggy,,"August 24, 2021",2021,TV-Y,"Kids' TV, TV Comedies"
s236,Movie,Untold: Caitlyn Jenner,,"August 24, 2021",2021,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies"
s237,Movie,Boomika,,"August 23, 2021",2021,TV-14,"Horror Movies, International Movies, Thrillers"
s238,Movie,Boomika (Hindi),,"August 23, 2021",2021,TV-14,"Horror Movies, International Movies, Thrillers"
s239,Movie,Boomika (Malayalam),,"August 23, 2021",2021,TV-14,"Horror Movies, International Movies, Thrillers"
s240,Movie,Boomika (Telugu),,"August 23, 2021",2021,TV-14,"Horror Movies, International Movies, Thrillers"
s241,Movie,The Witcher: Nightmare of the Wolf,,"August 23, 2021",2021,TV-MA,"Action & Adventure, Anime Features"
s242,TV Show,Manifest,United States,"August 21, 2021",2021,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
s243,TV Show,Comedy Premium League,,"August 20, 2021",2021,TV-MA,"International TV Shows, TV Comedies"
s244,TV Show,Everything Will Be Fine,,"August 20, 2021",2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s245,Movie,Gunshot,,"August 20, 2021",2018,TV-14,"Dramas, International Movies, Thrillers"
s246,TV Show,Korean Cold Noodle Rhapsody,,"August 20, 2021",2021,TV-PG,"Docuseries, International TV Shows"
s247,Movie,Man in Love,,"August 20, 2021",2021,TV-MA,"Dramas, International Movies, Romantic Movies"
s248,Movie,Sweet Girl,United States,"August 20, 2021",2021,R,"Action & Adventure, Dramas"
s249,TV Show,The Chair,,"August 20, 2021",2021,TV-MA,"TV Comedies, TV Dramas"
s250,Movie,The Loud House Movie,,"August 20, 2021",2021,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals"
